age,grade_level,math_score,reading_score,writing_score,attendance_rate,study_hours
1.2256641575,-0.4165710009,-0.0814845169,-0.9292234331,1.03211768,0.8354950984,0.9782522382000001
1.2256641575,1.3448285799,1.6671102671,-0.3000945007,1.1016205541,0.5756667581,-0.0787139878
1.2256641575,-1.2972707911999999,-1.1306413874,-0.9991266478,1.6576435467000001,1.5294826136,-0.9154020317
1.2256641575,1.3448285799,-0.3612596824,0.9581633639,-0.4274426756,1.143005423,-1.1254664847
-1.2232152781,-1.2972707911999999,0.687897188,0.1892280022,1.3101291764,0.2539128691,-0.5547158704
1.2256641575,0.4641287895,-0.9907538046000001,-1.4185459360000001,0.962614806,0.569966598,1.5261508539
0.0012244397000000001,-1.2972707911999999,0.0584030658,-0.5797073595000001,0.8931119319,1.4135524634,-0.5194270759
0.0012244397000000001,0.4641287895,0.9676723535,-0.36999771540000004,1.5881406727,-0.330086727,1.6913320155
1.2256641575,1.3448285799,-1.6901917183,1.0979697934,-0.21893405330000001,-0.5842714704,-0.0320925495
1.2256641575,0.4641287895,-0.9208100133,1.4474858669000001,1.4491349245,-1.6886954431999999,-1.0809875206
0.0012244397000000001,1.3448285799,0.4081220226,-0.9292234331,0.4065918134,1.1624738508,1.3589663342
0.0012244397000000001,-0.4165710009,0.3381782312,-1.3486427213,1.4491349245,1.0731004409,-0.1173398598
-1.2232152781,-0.4165710009,-0.7109786392,-0.5797073595000001,0.4760946874,-1.3613934989,0.7370700005
0.0012244397000000001,-0.4165710009,0.4081220226,-0.43990093010000003,1.3796320504000001,0.2897460224,1.6762103315
0.0012244397000000001,0.4641287895,0.4081220226,0.0494215728,-1.4699857867000001,-0.10477635610000001,-1.5230334279000002
1.2256641575,-0.4165710009,0.5480096053,1.5872922963,1.1711234282,-1.3115709894,-1.3636113451
0.0012244397000000001,-1.2972707911999999,-1.060697596,1.3076794375,1.5186377986,1.7007936367,0.7740317337
-1.2232152781,1.3448285799,-1.1306413874,1.3076794375,0.5455975615,-0.9760785567,-0.7291663229
0.0012244397000000001,1.3448285799,-0.7809224306,0.46884086100000005,0.962614806,-1.4914857906,-1.0633812982
1.2256641575,-1.2972707911999999,-0.6410348478,-1.3486427213,-1.0529685423,0.3526245517,-1.5600913661
1.2256641575,0.4641287895,0.9676723535,0.7484537198,1.6576435467000001,0.8559998967,-1.6201161294
